frame,tiempo,id_objeto,tipo,equipo,x,y,area,intervencion_humana
10,0.4,0,balon,balon,67.44,77.99,671,no
11,0.44,1,robot,Equipo A,54.1,44.73,11209,no
11,0.44,2,robot,Equipo A,34.39,79.25,12026,no
11,0.44,3,robot,Equipo B,146.06,74.77,6374,no
11,0.44,4,robot,Equipo B,141.6,62.45,0,no
11,0.44,0,balon,balon,67.25,77.8,686,no
12,0.48,1,robot,Equipo A,53.96,44.38,11209,no
12,0.48,2,robot,Equipo A,34.15,79.08,12026,no
12,0.48,3,robot,Equipo B,145.92,74.6,6374,no
12,0.48,4,robot,Equipo B,141.6,62.45,0,no
12,0.48,0,balon,balon,67.08,77.57,679,no
13,0.52,1,robot,Equipo A,53.82,43.98,11209,no
13,0.52,2,robot,Equipo A,33.9,78.89,12026,no
13,0.52,3,robot,Equipo B,145.77,74.41,6374,no
13,0.52,4,robot,Equipo B,141.6,62.45,0,no
13,0.52,0,balon,balon,66.85,77.24,686,no
14,0.56,1,robot,Equipo A,53.68,43.53,11209,no
14,0.56,2,robot,Equipo A,33.64,78.66,12026,no
14,0.56,3,robot,Equipo B,145.63,74.18,6374,no
14,0.56,4,robot,Equipo B,141.6,62.45,0,no
14,0.56,0,balon,balon,66.6,76.93,675,no
15,0.6,1,robot,Equipo A,53.4,43.37,11449,no
15,0.6,2,robot,Equipo A,33.41,78.39,12397,no
15,0.6,3,robot,Equipo B,145.45,73.98,6393,no
15,0.6,4,robot,Equipo B,141.6,62.45,0,no
15,0.6,0,balon,balon,66.4,76.7,672,no
16,0.64,1,robot,Equipo A,53.12,43.29,11449,no
16,0.64,2,robot,Equipo A,33.21,78.19,12397,no
16,0.64,3,robot,Equipo B,145.29,73.8,6393,no
16,0.64,4,robot,Equipo B,141.6,62.45,0,no
16,0.64,0,balon,balon,66.23,76.44,679,no
17,0.68,1,robot,Equipo A,52.84,43.26,11449,no
17,0.68,2,robot,Equipo A,33.01,78.03,12397,no
17,0.68,3,robot,Equipo B,145.12,73.62,6393,no
17,0.68,4,robot,Equipo B,141.6,62.45,0,no
17,0.68,0,balon,balon,66.07,76.23,684,no
18,0.72,1,robot,Equipo A,52.56,43.28,11449,no
18,0.72,2,robot,Equipo A,32.84,77.92,12397,no
18,0.72,3,robot,Equipo B,144.97,73.45,6393,no
18,0.72,4,robot,Equipo B,141.6,62.45,0,no
18,0.72,0,balon,balon,65.99,76.05,674,no
19,0.76,1,robot,Equipo A,52.27,43.33,11449,no
19,0.76,2,robot,Equipo A,32.67,77.83,12397,no
19,0.76,3,robot,Equipo B,144.82,73.29,6393,no
19,0.76,4,robot,Equipo B,141.6,62.45,0,no
19,0.76,0,balon,balon,65.87,75.82,696,no
20,0.8,1,robot,Equipo A,50.64,44.41,11570,no
20,0.8,2,robot,Equipo A,32.4,77.47,12822,no
20,0.8,3,robot,Equipo B,144.98,73.06,6663,no
20,0.8,4,robot,Equipo B,141.6,62.45,0,no
20,0.8,0,balon,balon,65.74,75.57,689,no
21,0.84,1,robot,Equipo A,49.53,45.3,11570,no
21,0.84,2,robot,Equipo A,32.2,77.14,12822,no
21,0.84,3,robot,Equipo B,145.18,72.89,6663,no
21,0.84,4,robot,Equipo B,141.6,62.45,0,no
21,0.84,0,balon,balon,65.67,75.3,691,no
22,0.88,1,robot,Equipo A,48.8,46.04,11570,no
22,0.88,2,robot,Equipo A,32.04,76.81,12822,no
22,0.88,3,robot,Equipo B,145.4,72.76,6663,no
22,0.88,4,robot,Equipo B,141.6,62.45,0,no
22,0.88,0,balon,balon,65.64,75.02,685,no
23,0.92,1,robot,Equipo A,48.36,46.66,11570,no
23,0.92,2,robot,Equipo A,31.93,76.49,12822,no
23,0.92,3,robot,Equipo B,145.64,72.66,6663,no
23,0.92,4,robot,Equipo B,141.6,62.45,0,no
23,0.92,0,balon,balon,65.62,74.74,682,no
24,0.96,1,robot,Equipo A,48.13,47.2,11570,no
24,0.96,2,robot,Equipo A,31.85,76.18,12822,no
24,0.96,3,robot,Equipo B,145.88,72.59,6663,no
24,0.96,4,robot,Equipo B,141.6,62.45,0,no
24,0.96,0,balon,balon,65.6,74.45,684,no
25,1.0,1,robot,Equipo A,47.64,47.53,13170,no
25,1.0,2,robot,Equipo A,31.85,75.88,12344,no
25,1.0,3,robot,Equipo B,145.78,72.24,6517,no
25,1.0,4,robot,Equipo B,141.6,62.45,0,no
25,1.0,0,balon,balon,65.66,74.23,685,no
26,1.04,1,robot,Equipo A,47.28,47.75,13170,no
26,1.04,2,robot,Equipo A,31.9,75.65,12344,no
26,1.04,3,robot,Equipo B,145.64,71.91,6517,no
26,1.04,4,robot,Equipo B,141.6,62.45,0,no
26,1.04,0,balon,balon,65.76,74.17,692,no
27,1.08,1,robot,Equipo A,47.0,47.87,13170,no
27,1.08,2,robot,Equipo A,31.96,75.48,12344,no
27,1.08,3,robot,Equipo B,145.46,71.59,6517,no
27,1.08,4,robot,Equipo B,141.6,62.45,0,no
27,1.08,0,balon,balon,65.88,74.33,702,no
28,1.12,1,robot,Equipo A,46.8,47.93,13170,no
28,1.12,2,robot,Equipo A,32.05,75.35,12344,no
28,1.12,3,robot,Equipo B,145.26,71.28,6517,no
28,1.12,4,robot,Equipo B,141.6,62.45,0,no
28,1.12,0,balon,balon,66.07,74.55,685,no
29,1.16,1,robot,Equipo A,46.64,47.94,13170,no
29,1.16,2,robot,Equipo A,32.14,75.26,12344,no
29,1.16,3,robot,Equipo B,144.89,70.68,7458,no
29,1.16,4,robot,Equipo B,141.6,62.45,0,no
29,1.16,0,balon,balon,66.3,74.93,681,no
30,1.2,1,robot,Equipo A,46.64,47.94,0,no
30,1.2,2,robot,Equipo A,32.61,75.8,8069,no
30,1.2,3,robot,Equipo B,144.93,71.21,6126,no
30,1.2,4,robot,Equipo B,141.6,62.45,0,no
30,1.2,0,balon,balon,66.42,75.27,658,no
31,1.24,1,robot,Equipo A,46.64,47.94,0,no
31,1.24,2,robot,Equipo A,32.99,76.28,8069,no
31,1.24,3,robot,Equipo B,145.0,71.75,6126,no
31,1.24,4,robot,Equipo B,141.6,62.45,0,no
31,1.24,0,balon,balon,66.49,75.52,661,no
32,1.28,1,robot,Equipo A,46.64,47.94,0,no
32,1.28,2,robot,Equipo A,33.31,76.71,8069,no
32,1.28,3,robot,Equipo B,145.09,72.31,6126,no
32,1.28,4,robot,Equipo B,141.6,62.45,0,no
32,1.28,0,balon,balon,66.34,75.66,665,no
33,1.32,1,robot,Equipo A,46.64,47.94,0,no
33,1.32,2,robot,Equipo A,33.59,77.1,8069,no
33,1.32,3,robot,Equipo B,145.19,72.86,6126,no
33,1.32,4,robot,Equipo B,141.6,62.45,0,no
33,1.32,0,balon,balon,66.07,75.54,689,no
34,1.36,1,robot,Equipo A,46.64,47.94,0,no
34,1.36,2,robot,Equipo A,33.84,77.47,8069,no
34,1.36,3,robot,Equipo B,145.3,73.42,6126,no
34,1.36,4,robot,Equipo B,141.6,62.45,0,no
34,1.36,0,balon,balon,65.6,75.22,688,no
35,1.4,1,robot,Equipo A,46.42,48.41,11461,no
35,1.4,2,robot,Equipo A,33.35,76.99,6960,no
35,1.4,3,robot,Equipo B,144.92,72.91,6171,no
35,1.4,4,robot,Equipo B,141.6,62.45,0,no
35,1.4,0,balon,balon,65.08,74.72,679,no
36,1.44,1,robot,Equipo A,46.22,48.8,11461,no
36,1.44,2,robot,Equipo A,32.84,76.48,6960,no
36,1.44,3,robot,Equipo B,144.53,72.34,6171,no
36,1.44,4,robot,Equipo B,141.6,62.45,0,no
36,1.44,0,balon,balon,64.67,74.18,675,no
37,1.48,1,robot,Equipo A,46.04,49.13,11461,no
37,1.48,2,robot,Equipo A,32.31,75.96,6960,no
37,1.48,3,robot,Equipo B,144.14,71.73,6171,no
37,1.48,4,robot,Equipo B,139.74,61.28,1384,no
37,1.48,0,balon,balon,64.38,73.62,674,no
38,1.52,1,robot,Equipo A,45.86,49.42,11461,no
38,1.52,2,robot,Equipo A,31.78,75.42,6960,no
38,1.52,3,robot,Equipo B,143.73,71.1,6171,no
38,1.52,4,robot,Equipo B,137.53,59.79,3078,no
38,1.52,0,balon,balon,64.22,73.19,672,no
39,1.56,1,robot,Equipo A,45.69,49.66,11461,no
39,1.56,2,robot,Equipo A,31.24,74.87,6960,no
39,1.56,3,robot,Equipo B,143.32,70.44,6171,no
39,1.56,4,robot,Equipo B,135.2,58.6,3440,no
39,1.56,0,balon,balon,64.14,72.75,687,no
40,1.6,1,robot,Equipo A,45.81,49.74,12671,no
40,1.6,2,robot,Equipo A,30.94,74.32,12310,no
40,1.6,3,robot,Equipo B,143.4,70.16,6261,no
40,1.6,4,robot,Equipo B,135.2,58.6,0,no
40,1.6,0,balon,balon,64.09,72.45,680,no
41,1.64,1,robot,Equipo A,45.94,49.73,12671,no
41,1.64,2,robot,Equipo A,30.78,73.91,12310,no
41,1.64,3,robot,Equipo B,143.54,69.99,6261,no
41,1.64,4,robot,Equipo B,135.2,58.6,0,no
41,1.64,0,balon,balon,64.06,72.28,681,no
42,1.68,1,robot,Equipo A,46.07,49.65,12671,no
42,1.68,2,robot,Equipo A,30.74,73.59,12310,no
42,1.68,3,robot,Equipo B,143.71,69.9,6261,no
42,1.68,4,robot,Equipo B,135.2,58.6,0,no
42,1.68,0,balon,balon,64.11,72.25,673,no
43,1.72,1,robot,Equipo A,46.21,49.51,12671,no
43,1.72,2,robot,Equipo A,30.77,73.36,12310,no
43,1.72,3,robot,Equipo B,143.9,69.87,6261,no
43,1.72,4,robot,Equipo B,135.2,58.6,0,no
43,1.72,0,balon,balon,64.27,72.37,678,no
44,1.76,1,robot,Equipo A,46.34,49.34,12671,no
44,1.76,2,robot,Equipo A,30.87,73.19,12310,no
44,1.76,3,robot,Equipo B,144.12,69.88,6261,no
44,1.76,4,robot,Equipo B,135.2,58.6,0,no
44,1.76,0,balon,balon,64.48,72.56,674,no
45,1.8,1,robot,Equipo A,46.23,49.64,13083,no
45,1.8,2,robot,Equipo A,30.98,73.31,12178,no
45,1.8,3,robot,Equipo B,144.15,69.99,6304,no
45,1.8,4,robot,Equipo B,135.2,58.6,0,no
45,1.8,0,balon,balon,64.72,72.8,672,no
46,1.84,1,robot,Equipo A,46.15,49.98,13083,no
46,1.84,2,robot,Equipo A,31.06,73.47,12178,no
46,1.84,3,robot,Equipo B,144.13,70.12,6304,no
46,1.84,4,robot,Equipo B,135.2,58.6,0,no
46,1.84,0,balon,balon,64.99,72.99,671,no
47,1.88,1,robot,Equipo A,46.09,50.34,13083,no
47,1.88,2,robot,Equipo A,31.13,73.66,12178,no
47,1.88,3,robot,Equipo B,144.08,70.25,6304,no
47,1.88,4,robot,Equipo B,135.2,58.6,0,no
47,1.88,0,balon,balon,65.2,73.23,659,no
48,1.92,1,robot,Equipo A,46.04,50.72,13083,no
48,1.92,2,robot,Equipo A,31.17,73.88,12178,no
48,1.92,3,robot,Equipo B,144.01,70.38,6304,no
48,1.92,4,robot,Equipo B,135.2,58.6,0,no
48,1.92,0,balon,balon,65.37,73.43,664,no
49,1.96,1,robot,Equipo A,46.01,51.11,13083,no
49,1.96,2,robot,Equipo A,31.21,74.11,12178,no
49,1.96,3,robot,Equipo B,143.92,70.51,6304,no
49,1.96,4,robot,Equipo B,135.2,58.6,0,no
49,1.96,0,balon,balon,65.53,73.6,665,no
50,2.0,1,robot,Equipo A,47.64,48.41,11528,no
50,2.0,2,robot,Equipo A,31.44,74.22,12158,no
50,2.0,3,robot,Equipo B,144.24,70.65,6348,no
50,2.0,4,robot,Equipo B,135.2,58.6,0,no
50,2.0,0,balon,balon,65.62,73.69,673,no
51,2.04,1,robot,Equipo A,48.77,46.06,11528,no
51,2.04,2,robot,Equipo A,31.66,74.26,12158,no
51,2.04,3,robot,Equipo B,144.55,70.76,6348,no
51,2.04,4,robot,Equipo B,135.2,58.6,0,no
51,2.04,0,balon,balon,65.67,73.75,675,no
52,2.08,1,robot,Equipo A,49.5,43.97,11528,no
52,2.08,2,robot,Equipo A,31.85,74.26,12158,no
52,2.08,3,robot,Equipo B,144.86,70.84,6348,no
52,2.08,4,robot,Equipo B,135.2,58.6,0,no
52,2.08,0,balon,balon,65.76,73.78,672,no
53,2.12,1,robot,Equipo A,49.95,42.08,11528,no
53,2.12,2,robot,Equipo A,32.04,74.22,12158,no
53,2.12,3,robot,Equipo B,145.16,70.89,6348,no
53,2.12,4,robot,Equipo B,135.2,58.6,0,no
53,2.12,0,balon,balon,65.82,73.73,664,no
54,2.16,1,robot,Equipo A,50.17,40.33,11528,no
54,2.16,2,robot,Equipo A,32.21,74.15,12158,no
54,2.16,3,robot,Equipo B,145.45,70.94,6348,no
54,2.16,4,robot,Equipo B,135.2,58.6,0,no
54,2.16,0,balon,balon,65.85,73.7,672,no
55,2.2,1,robot,Equipo A,50.81,40.29,11360,no
55,2.2,2,robot,Equipo A,32.27,74.14,11937,no
55,2.2,3,robot,Equipo B,145.32,70.86,6312,no
55,2.2,4,robot,Equipo B,135.2,58.6,0,no
55,2.2,0,balon,balon,65.86,73.56,668,no
56,2.24,1,robot,Equipo A,51.35,40.51,11360,no
56,2.24,2,robot,Equipo A,32.28,74.13,11937,no
56,2.24,3,robot,Equipo B,145.15,70.8,6312,no
56,2.24,4,robot,Equipo B,135.2,58.6,0,no
56,2.24,0,balon,balon,65.8,73.41,665,no
57,2.28,1,robot,Equipo A,51.83,40.93,11360,no
57,2.28,2,robot,Equipo A,32.25,74.12,11937,no
57,2.28,3,robot,Equipo B,144.95,70.76,6312,no
57,2.28,4,robot,Equipo B,135.2,58.6,0,no
57,2.28,0,balon,balon,65.77,73.14,667,no
58,2.32,1,robot,Equipo A,52.26,41.49,11360,no
58,2.32,2,robot,Equipo A,32.19,74.12,11937,no
58,2.32,3,robot,Equipo B,144.73,70.73,6312,no
58,2.32,4,robot,Equipo B,135.2,58.6,0,no
58,2.32,0,balon,balon,65.69,72.85,675,no
59,2.36,1,robot,Equipo A,52.65,42.17,11360,no
59,2.36,2,robot,Equipo A,32.11,74.11,11937,no
59,2.36,3,robot,Equipo B,144.5,70.7,6312,no
59,2.36,4,robot,Equipo B,135.2,58.6,0,no
59,2.36,0,balon,balon,65.58,72.51,670,no
60,2.4,1,robot,Equipo A,52.52,41.16,11429,no
60,2.4,2,robot,Equipo A,32.05,73.6,11860,no
60,2.4,3,robot,Equipo B,144.53,70.29,6313,no
60,2.4,4,robot,Equipo B,135.2,58.6,0,no
60,2.4,0,balon,balon,65.46,72.12,671,no
61,2.44,1,robot,Equipo A,52.35,40.08,11429,no
61,2.44,2,robot,Equipo A,32.01,73.11,11860,no
61,2.44,3,robot,Equipo B,144.59,69.91,6313,no
61,2.44,4,robot,Equipo B,135.2,58.6,0,no
61,2.44,0,balon,balon,65.39,71.71,673,no
62,2.48,1,robot,Equipo A,52.16,38.94,11429,no
62,2.48,2,robot,Equipo A,31.98,72.64,11860,no
62,2.48,3,robot,Equipo B,144.68,69.55,6313,no
62,2.48,4,robot,Equipo B,135.2,58.6,0,no
62,2.48,0,balon,balon,65.36,71.35,673,no
63,2.52,1,robot,Equipo A,51.94,37.76,11429,no
63,2.52,2,robot,Equipo A,31.95,72.17,11860,no
63,2.52,3,robot,Equipo B,144.77,69.2,6313,no
63,2.52,4,robot,Equipo B,135.2,58.6,0,no
63,2.52,0,balon,balon,65.33,71.03,664,no
64,2.56,1,robot,Equipo A,51.7,36.55,11429,no
64,2.56,2,robot,Equipo A,31.94,71.71,11860,no
64,2.56,3,robot,Equipo B,144.88,68.88,6313,no
64,2.56,4,robot,Equipo B,135.2,58.6,0,no
64,2.56,0,balon,balon,65.39,70.79,672,no
65,2.6,1,robot,Equipo A,51.92,36.59,11498,no
65,2.6,2,robot,Equipo A,31.96,71.52,12048,no
65,2.6,3,robot,Equipo B,145.03,68.63,6382,no
65,2.6,4,robot,Equipo B,135.2,58.6,0,no
65,2.6,0,balon,balon,65.54,70.65,673,no
66,2.64,1,robot,Equipo A,52.15,36.79,11498,no
66,2.64,2,robot,Equipo A,31.97,71.37,12048,no
66,2.64,3,robot,Equipo B,145.15,68.44,6382,no
66,2.64,4,robot,Equipo B,135.2,58.6,0,no
66,2.64,0,balon,balon,65.76,70.64,668,no
67,2.68,1,robot,Equipo A,52.39,37.13,11498,no
67,2.68,2,robot,Equipo A,31.98,71.26,12048,no
67,2.68,3,robot,Equipo B,145.23,68.31,6382,no
67,2.68,4,robot,Equipo B,135.2,58.6,0,no
67,2.68,0,balon,balon,66.0,70.7,670,no
68,2.72,1,robot,Equipo A,52.65,37.56,11498,no
68,2.72,2,robot,Equipo A,31.99,71.17,12048,no
68,2.72,3,robot,Equipo B,145.3,68.2,6382,no
68,2.72,4,robot,Equipo B,135.2,58.6,0,no
68,2.72,0,balon,balon,66.26,70.8,668,no
69,2.76,1,robot,Equipo A,52.91,38.07,11498,no
69,2.76,2,robot,Equipo A,32.0,71.11,12048,no
69,2.76,3,robot,Equipo B,145.35,68.12,6382,no
69,2.76,4,robot,Equipo B,135.2,58.6,0,no
69,2.76,0,balon,balon,66.47,71.05,665,no
70,2.8,1,robot,Equipo A,53.1,38.05,11391,no
70,2.8,2,robot,Equipo A,32.5,71.53,9847,no
70,2.8,3,robot,Equipo B,145.59,68.32,6499,no
70,2.8,4,robot,Equipo B,135.2,58.6,0,no
70,2.8,0,balon,balon,66.65,71.32,673,no
71,2.84,1,robot,Equipo A,53.25,37.96,11391,no
71,2.84,2,robot,Equipo A,32.94,71.92,9847,no
71,2.84,3,robot,Equipo B,145.82,68.54,6499,no
71,2.84,4,robot,Equipo B,135.2,58.6,0,no
71,2.84,0,balon,balon,66.75,71.59,680,no
72,2.88,1,robot,Equipo A,53.36,37.82,11391,no
72,2.88,2,robot,Equipo A,33.35,72.29,9847,no
72,2.88,3,robot,Equipo B,146.02,68.77,6499,no
72,2.88,4,robot,Equipo B,135.2,58.6,0,no
72,2.88,0,balon,balon,66.8,71.94,679,no
73,2.92,1,robot,Equipo A,53.44,37.65,11391,no
73,2.92,2,robot,Equipo A,33.73,72.63,9847,no
73,2.92,3,robot,Equipo B,146.1,68.77,7309,no
73,2.92,4,robot,Equipo B,135.2,58.6,0,no
73,2.92,0,balon,balon,66.77,72.27,674,no
74,2.96,1,robot,Equipo A,53.5,37.44,11391,no
74,2.96,2,robot,Equipo A,34.08,72.96,9847,no
74,2.96,3,robot,Equipo B,146.12,68.8,7469,no
74,2.96,4,robot,Equipo B,135.2,58.6,0,no
74,2.96,0,balon,balon,66.68,72.51,675,no
75,3.0,1,robot,Equipo A,53.37,37.94,11486,no
75,3.0,2,robot,Equipo A,33.74,73.18,11884,no
75,3.0,3,robot,Equipo B,146.07,69.15,6559,no
75,3.0,4,robot,Equipo B,135.2,58.6,0,no
75,3.0,0,balon,balon,66.51,72.7,670,no
76,3.04,1,robot,Equipo A,53.24,38.46,11486,no
76,3.04,2,robot,Equipo A,33.42,73.33,11884,no
76,3.04,3,robot,Equipo B,146.0,69.41,6559,no
76,3.04,4,robot,Equipo B,135.2,58.6,0,no
76,3.04,0,balon,balon,66.29,72.88,671,no
77,3.08,1,robot,Equipo A,53.1,38.99,11486,no
77,3.08,2,robot,Equipo A,33.1,73.45,11884,no
77,3.08,3,robot,Equipo B,145.91,69.61,6559,no
77,3.08,4,robot,Equipo B,135.2,58.6,0,no
77,3.08,0,balon,balon,66.04,72.97,674,no
78,3.12,1,robot,Equipo A,52.97,39.54,11486,no
78,3.12,2,robot,Equipo A,32.8,73.54,11884,no
78,3.12,3,robot,Equipo B,145.8,69.76,6559,no
78,3.12,4,robot,Equipo B,135.2,58.6,0,no
78,3.12,0,balon,balon,65.84,73.03,666,no
79,3.16,1,robot,Equipo A,52.83,40.09,11486,no
79,3.16,2,robot,Equipo A,32.49,73.61,11884,no
79,3.16,3,robot,Equipo B,145.69,69.87,6559,no
79,3.16,4,robot,Equipo B,135.2,58.6,0,no
79,3.16,0,balon,balon,65.66,73.05,670,no
80,3.2,1,robot,Equipo A,51.52,43.06,12365,no
80,3.2,2,robot,Equipo A,32.27,73.66,12269,no
80,3.2,3,robot,Equipo B,145.53,69.95,6603,no
80,3.2,4,robot,Equipo B,135.2,58.6,0,no
80,3.2,0,balon,balon,65.5,73.07,670,no
81,3.24,1,robot,Equipo A,50.69,45.41,12365,no
81,3.24,2,robot,Equipo A,32.1,73.7,12269,no
81,3.24,3,robot,Equipo B,145.42,70.01,6603,no
81,3.24,4,robot,Equipo B,135.2,58.6,0,no
81,3.24,0,balon,balon,65.42,73.01,669,no
82,3.28,1,robot,Equipo A,50.2,47.27,12365,no
82,3.28,2,robot,Equipo A,31.97,73.73,12269,no
82,3.28,3,robot,Equipo B,145.33,70.06,6603,no
82,3.28,4,robot,Equipo B,135.2,58.6,0,no
82,3.28,0,balon,balon,65.37,72.98,670,no
83,3.32,1,robot,Equipo A,49.97,48.78,12365,no
83,3.32,2,robot,Equipo A,31.88,73.75,12269,no
83,3.32,3,robot,Equipo B,145.27,70.1,6603,no
83,3.32,4,robot,Equipo B,135.2,58.6,0,no
83,3.32,0,balon,balon,65.34,72.9,675,no
84,3.36,1,robot,Equipo A,49.95,50.02,12365,no
84,3.36,2,robot,Equipo A,31.8,73.76,12269,no
84,3.36,3,robot,Equipo B,145.22,70.12,6603,no
84,3.36,4,robot,Equipo B,135.2,58.6,0,no
84,3.36,0,balon,balon,65.33,72.85,674,no
85,3.4,1,robot,Equipo A,49.33,50.51,12518,no
85,3.4,2,robot,Equipo A,31.79,73.67,12028,no
85,3.4,3,robot,Equipo B,145.18,70.07,6541,no
85,3.4,4,robot,Equipo B,135.2,58.6,0,no
85,3.4,0,balon,balon,65.32,72.77,673,no
86,3.44,1,robot,Equipo A,48.79,50.81,12518,no
86,3.44,2,robot,Equipo A,31.77,73.56,12028,no
86,3.44,3,robot,Equipo B,145.12,69.99,6541,no
86,3.44,4,robot,Equipo B,135.2,58.6,0,no
86,3.44,0,balon,balon,65.38,72.72,671,no
87,3.48,1,robot,Equipo A,48.31,50.96,12518,no
87,3.48,2,robot,Equipo A,31.76,73.44,12028,no
87,3.48,3,robot,Equipo B,145.03,69.9,6541,no
87,3.48,4,robot,Equipo B,135.2,58.6,0,no
87,3.48,0,balon,balon,65.47,72.62,668,no
88,3.52,1,robot,Equipo A,47.89,51.01,12518,no
88,3.52,2,robot,Equipo A,31.75,73.32,12028,no
88,3.52,3,robot,Equipo B,144.93,69.8,6541,no
88,3.52,4,robot,Equipo B,135.2,58.6,0,no
88,3.52,0,balon,balon,65.59,72.51,666,no
89,3.56,1,robot,Equipo A,47.49,50.96,12518,no
89,3.56,2,robot,Equipo A,31.75,73.19,12028,no
89,3.56,3,robot,Equipo B,144.83,69.68,6541,no
89,3.56,4,robot,Equipo B,135.2,58.6,0,no
89,3.56,0,balon,balon,65.72,72.45,676,no
90,3.6,1,robot,Equipo A,48.8,47.9,11503,no
90,3.6,2,robot,Equipo A,32.06,73.27,9829,no
90,3.6,3,robot,Equipo B,145.03,69.63,6568,no
90,3.6,4,robot,Equipo B,135.2,58.6,0,no
90,3.6,0,balon,balon,65.85,72.34,677,no
91,3.64,1,robot,Equipo A,49.66,45.35,11503,no
91,3.64,2,robot,Equipo A,32.33,73.33,9829,no
91,3.64,3,robot,Equipo B,145.25,69.63,6568,no
91,3.64,4,robot,Equipo B,135.2,58.6,0,no
91,3.64,0,balon,balon,65.93,72.29,675,no
92,3.68,1,robot,Equipo A,50.21,43.19,11503,no
92,3.68,2,robot,Equipo A,32.57,73.38,9829,no
92,3.68,3,robot,Equipo B,145.49,69.66,6568,no
92,3.68,4,robot,Equipo B,135.2,58.6,0,no
92,3.68,0,balon,balon,66.03,72.26,675,no
93,3.72,1,robot,Equipo A,50.51,41.31,11503,no
93,3.72,2,robot,Equipo A,32.79,73.41,9829,no
93,3.72,3,robot,Equipo B,145.74,69.72,6568,no
93,3.72,4,robot,Equipo B,135.2,58.6,0,no
93,3.72,0,balon,balon,66.09,72.24,682,no
94,3.76,1,robot,Equipo A,50.63,39.65,11503,no
94,3.76,2,robot,Equipo A,32.98,73.44,9829,no
94,3.76,3,robot,Equipo B,145.99,69.81,6568,no
94,3.76,4,robot,Equipo B,135.2,58.6,0,no
94,3.76,0,balon,balon,66.06,72.23,675,no
95,3.8,1,robot,Equipo A,51.15,39.38,11500,no
95,3.8,2,robot,Equipo A,32.99,73.43,9730,no
95,3.8,3,robot,Equipo B,145.9,69.76,6512,no
95,3.8,4,robot,Equipo B,135.2,58.6,0,no
95,3.8,0,balon,balon,65.98,72.23,678,no
